utt,Speaker name,TTS or VC,Is multi-speaker?,Language,Gender,Age,Noise type 1,Noise type 2,Noise type 3,Source link,Collector,label,vocosig_feat_embedded,aasistssl_feat_embedded,btse_feat_embedded
typecast_hobin_3,TTS_hobin,TTS,No,Korean,Male,Child,-,-,-,https://app.typecast.ai/ko/editor/652e2ca2d6b93d976b856240,WOONGJAE LEE,spoof,[23.211744 32.051926],[36.703945 22.72772 ],[-18.086325    4.7455096]
2022_11_19_AI_WEATHER_3,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=dqkJgpxh6tw,KWONWOO JEONG,spoof,[-42.030193 -23.939075],[ 41.929432 -16.233019],[ -8.623453 -47.451485]
LOL_Dopa_2,TTS_GangDo,TTS,No,Korean,Male,Child,Music,-,-,https://youtu.be/QipDWk7_f0s?si=FB7uMidYTlZndUq-,INSEOK LEE,spoof,[-22.981873 -17.739542],[ 1.4601247 -9.978219 ],[-30.671253   9.89288 ]
jtbc_news_saban_1,NEWS CASTER,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=WyU1XWd5_lE,WOONGJAE LEE,bonafide,[-14.483676  47.51772 ],[-6.6677785 50.247765 ],[17.559902 11.032357]
IU_AIcover_writeyournumber_3,IU,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=6IgeT060CW4,WOONGJAE LEE,spoof,[-13.002852  13.926618],[22.045645 39.761364],[-31.226734 -38.80638 ]
20210702_AI_ANCHOR_2,KIM JOOHA,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=cHo83zJ5CZk,KWONWOO JEONG,spoof,[ -2.8245645 -50.47533  ],[ 36.859673 -18.724321],[ 11.28686 -56.15315]
Leesooji_naver_7,TTS_LeeSooJi,TTS,No,Korean,Female,Adult,-,-,-,https://clovadubbing.naver.com/project/2832923,WOONGJAE LEE,spoof,[ 9.938289 39.727142],[-45.108963 -32.84075 ],[-4.8955116 47.673386 ]
20230928_handonghoon_6,HAN DONGHOON,-,No,Korean,Male,Adult,Random noise,Sound effect,-,https://www.youtube.com/watch?v=YPDeL3eb0sM,KWONWOO JEONG,bonafide,[24.00834   -6.8252516],[ 27.492847 -19.857883],[ 13.097573 -60.049515]
brothers_karamazov_femaleAI_7,TTS_FEMALE,TTS,No,English,Female,Adult,-,-,-,Text to Speech Program,KWONWOO JEONG,spoof,[39.838764 17.232826],[-60.018116 -11.919226],[ 7.5438194 36.354664 ]
jeongdongwon_4,JEONG DONGWON,-,No,Korean,Male,Teenager,-,-,-,https://www.youtube.com/watch?v=k9NJZnFeois,KWONWOO JEONG,bonafide,[-16.089874  13.785173],[ 36.072575 -11.865422],[11.38235  17.471262]
meanissue_1,TTS_meanissue,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=3QE7b9xHius,WOONGJAE LEE,spoof,[ 8.046847 40.97653 ],[-41.91591    -5.3838654],[22.53628 47.37404]
wkorea_danielle_2,DANIELLE,-,No,Korean,Female,Teenager,Music,Sound effect,-,https://www.youtube.com/watch?v=3dUhn1mLw1U,KWONWOO JEONG,bonafide,[ 11.187144 -19.155752],[11.8266115 51.229904 ],[-22.245195   5.347463]
KKONGCHI_2,TTS_Shorttube,TTS,No,Korean,Male,Teenager,Music,-,-,https://youtube.com/shorts/ApaDJZ5wJEI?si=I-7ynGkBAHFKuvsP,INSEOK LEE,spoof,[-20.22787   -7.894861],[  7.8559675 -20.16937  ],[36.642414 24.750769]
230914_Yonhap_Messi_7,Go HyunSil,-,No,Korean,Female,Adult,Music,-,-,https://youtu.be/YOgGBg9yD8M?si=W3xTPwXN7zITtgNs,INSEOK LEE,bonafide,[-46.986523 -20.137417],[-44.723072 -19.103357],[4.845898  3.2191186]
Chutul_Cookie_9,TTS_Chutul,TTS,No,Korean,Male,Adult,Music,Sound effect,-,https://youtu.be/dauKQH6capM?si=ui-88PuWWOU1qgNT,INSEOK LEE,spoof,[-48.452423   -2.6657777],[-5.797094 25.025427],[-22.87321     5.3836937]
230916TOTvsSHE_1,SPORT CASTER(TOT),-,No,English,Male,Adult,Crowded,-,-,https://youtu.be/hOBs_Ddtr18?si=sCgjh_yf3O7HadM9,INSEOK LEE,bonafide,[-47.89167    -1.8945676],[-46.118507     0.32791287],[-28.766148   9.493953]
Chuucandoit_EP76_6,Chuu ( Kim Ji Woo ),-,No,Korean,Female,Adult,Music,Random noise,-,https://www.youtube.com/watch?v=iXPmToPZj0c&list=PLfLDurFklIaph4F7oqHjkSsw8AwlLZPA8&index=28,WOONGJAE LEE,bonafide,[-22.60972  45.18008],[-43.963768 -14.439837],[  3.530587 -18.958605]
20230921_mbc_weather_8,OH YOANNA,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=T4WDT4G3pxU,KWONWOO JEONG,bonafide,[-0.5715169 44.769154 ],[-39.72931     6.2673354],[21.433256 34.440308]
todayistoday_3,TTS_todayistoday,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=jR2VnNH1Zek,WOONGJAE LEE,spoof,[18.334772 34.524387],[ 31.960258 -19.076168],[-1.1181058 43.13095  ]
BrunoMars_AIcover_EentHorizon_7,Bruno Mars,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=m5mQ2aL2Mkg,WOONGJAE LEE,spoof,[ 11.605258 -49.374767],[-11.921048  37.0441  ],[-20.647394 -49.512264]
Donghyun_9,"Obama,Trump,Biden",TTS,Yes,English,Male,Adult,Music,Sound effect,-,https://youtu.be/Mpo-i4aphrM?si=Ha9147VoJ2do-u9L,INSEOK LEE,spoof,[-47.148483 -19.943525],[-11.625949  39.97177 ],[ -9.945291 -48.516224]
2022_03_02_AI_ANCHOR_4,KIM JOOHA,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=4ZZJOBQD9sM,KWONWOO JEONG,spoof,[  1.0573657 -52.623573 ],[ 44.568127 -18.836956],[-2.9266548 50.0213   ]
typecast_changbae_3,TTS_changbae,TTS,No,Korean,Male,Elder,-,-,-,https://app.typecast.ai/ko/editor/652e2efd0307cc9327e94b41,WOONGJAE LEE,spoof,[ 1.5527406 44.003567 ],[-37.260788  -6.570889],[ 1.5435686 51.730106 ]
KLAB_Argentina_9,Jeon YeJin,-,No,Korean,Female,Adult,Music,Crowded,-,https://youtu.be/D8g4LHQln94?si=IwHykEUOIllAEVc9,INSEOK LEE,bonafide,[-32.95274    9.077512],[-8.964633 52.99897 ],[-34.400402   -1.9074707]
ziroud_3,TTS_Hooligun,TTS,No,Korean,Male,Child,Music,Sound effect,-,https://youtu.be/672_mR42M2I?si=ZhYgv0GWEc3cjwDF,INSEOK LEE,spoof,[-32.730663  29.535515],[-20.043425  15.790208],[  5.836226 -19.444557]
Howtomake_AIcover_6,TTS,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/PWQVcYml2ZA?si=ISO1e3aqKGO7RkFq,INSEOK LEE,spoof,[-32.78061   26.613941],[-14.167779  40.699287],[36.21793  27.652496]
Swiss_1,TTS_Haru,TTS,No,Korean,Female,Adult,Music,Random noise,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,INSEOK LEE,spoof,[22.293806  4.960873],[ 29.989197 -18.50735 ],[  7.6469626 -60.342033 ]
stoveleague_clip_2,NAMKOONG MIN,-,No,Korean,Male,Adult,Sound effect,-,-,https://www.youtube.com/watch?v=FSn93vXPuMY,KWONWOO JEONG,bonafide,[ 9.579592 39.773014],[-52.79091  -28.782986],[ 12.214737 -61.614372]
ziroud_5,TTS_Hooligun,TTS,No,Korean,Male,Child,Music,-,-,https://youtu.be/672_mR42M2I?si=ZhYgv0GWEc3cjwDF,INSEOK LEE,spoof,[-6.147065 11.66093 ],[-15.438697  29.06755 ],[ 11.39549  -19.222832]
KimDongYull_EveryMoment_1,KimDongYull,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/U-AlTQPpPfs?si=NXrqplUFb4lEhVia,INSEOK LEE,spoof,[-14.734558  13.824045],[-12.827806  34.814762],[-27.897772 -43.836792]
chuucandoit_hair_3,Chuu ( Kim Ji Woo ),-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=7MihoRON4ew,WOONGJAE LEE,bonafide,[-5.8904567 46.908253 ],[-31.751478  11.619849],[-33.054607   -3.9316645]
JangBeomJune_AIcover_monologue_3,JangBeomJune,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=uD79n8tjETs&list=PLd3BT7SpH7gmGQCATURscUYrwPyKx8x8A,WOONGJAE LEE,spoof,[ 16.721159 -43.15129 ],[-42.18286    5.797771],[14.463031   9.2959585]
gridanews_6,TTS_gridanews,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=J0RlmWPSlgY,WOONGJAE LEE,spoof,[23.31726    2.5729432],[ 49.954678 -15.575637],[-2.0758307 49.614616 ]
20230925_sbsnews6_2,SON SEUNGWOOK,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=4jsXXJs2t5g,KWONWOO JEONG,bonafide,[44.31562    7.0828376],[-41.074196   -3.5304017],[34.31316  21.285435]
230610_Deep_6,YoonHyukJun,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=F-9SFYmO_XQ,WOONGJAE LEE,bonafide,[ 17.181618 -41.891994],[ 41.01501 -27.78103],[-2.7583299  2.9728613]
weathercast_3,WEATHERCASTER,-,No,Korean,Female,Adult,Random noise,-,-,https://www.youtube.com/watch?v=09Mg3oKLamA,KWONWOO JEONG,bonafide,[-20.1267    -4.789432],[  9.44986  -29.798765],[30.516502 -8.786868]
TED_BridgeRiddle_3,Alex Gendler,-,No,English,Male,Adult,Music,-,-,https://youtu.be/7yDmGnA8Hw0?si=24emSO9V9E9YLTJz,INSEOK LEE,bonafide,[-47.43693    -1.7405752],[-5.4953303 -6.252449 ],[  8.593624 -64.02388 ]
TED_BridgeRiddle_7,Alex Gendler,-,No,English,Male,Adult,Music,Random noise,-,https://youtu.be/7yDmGnA8Hw0?si=24emSO9V9E9YLTJz,INSEOK LEE,bonafide,[-15.36333   13.838028],[-19.443708  22.481804],[-17.017996    4.5086727]
Mark_Zuckerberg_Harvard_Address_6,Mark Zuckerberg,-,No,English,Male,Adult,Music,Reverb,-,https://youtu.be/C5pPsmqwEis?si=nAFaO_bgwNUjAXZr,INSEOK LEE,bonafide,[ 51.232746 -14.289324],[22.530575 46.582294],[-52.276268    6.1892705]
KimKyungHo_AIcover_You_2,KimKyungHo,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=6x8R0PP9Vm4,WOONGJAE LEE,spoof,[ 17.34179 -31.7772 ],[-12.39783   48.983208],[-31.435234 -39.98753 ]
tottenham_interview_8,Paul Miles,-,No,English,Male,Adult,Crowded,-,-,https://www.youtube.com/watch?v=TrYHDkeccF0,KWONWOO JEONG,bonafide,[-32.973877  30.580908],[-33.592175  11.807037],[-5.933055   5.3022394]
korea_vs_saudi_2,SPORT CASTER,-,No,Korean,Male,Adult,Crowded,-,-,https://www.youtube.com/watch?v=nhBjLjJ3sAE,KWONWOO JEONG,bonafide,[-10.131317  13.611889],[ 31.970367 -24.375498],[-14.033534  -8.652303]
BUZZ_AIcover_haeyo_1,BUZZ,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=qIwMyaHbP4A,WOONGJAE LEE,spoof,[ 10.265321 -50.39594 ],[ 0.8702488 -8.037309 ],[-15.229988  -9.060057]
typecast_changbae_6,TTS_changbae,TTS,No,Korean,Male,Elder,-,-,-,https://app.typecast.ai/ko/editor/652e2efd0307cc9327e94b41,WOONGJAE LEE,spoof,[-34.38035    8.590541],[-44.794804 -31.441635],[-7.0316157 45.186363 ]
230907_MBC_BREXIT_1,Nam HyungSeok,-,No,Korean,Male,Adult,Sound effect,Music,-,https://youtu.be/d9rWp3rYolA?si=yatFrAjjZ8Pm6kc5,INSEOK LEE,bonafide,[-32.743793  30.877491],[-6.4188495 -7.3872223],[  2.8732924 -19.024466 ]
230926_HanJuneTV_7,HanJune,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=qu9OqX_-3NU,WOONGJAE LEE,bonafide,[-6.9080067 46.83099  ],[-24.714073  14.028876],[36.727905 25.79064 ]
HANI_AIcover_OffMyFace_5,HANI,VC,No,English,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=_jcDqhQCmK4,WOONGJAE LEE,spoof,[-3.9800553 10.294776 ],[-7.6793213 49.617012 ],[-19.715273 -12.28958 ]
kkultube_1,TTS_kkultube,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Vo9B_QDr0Vc,WOONGJAE LEE,spoof,[23.248903 -8.861253],[ 33.110718 -25.269817],[36.075733 26.884314]
GD_AIcover_HypeBoy_8,G-Dragon,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/2wHfMukP4hk?si=6nmOX8lotxo1-Ven,INSEOK LEE,spoof,[ -7.128314 -38.5579  ],[  5.282652 -18.191607],[6.24802   2.5398097]
20230710_AI_ANCHOR_2,KIM JOOHA,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=yC-edLMz5Pc,KWONWOO JEONG,spoof,[ 5.624282 -8.28787 ],[ 43.032803 -16.787045],[ 5.625467 52.49211 ]
typecast_hobin_10,TTS_hobin,TTS,No,Korean,Male,Child,-,-,-,https://app.typecast.ai/ko/editor/652e2ca2d6b93d976b856240,WOONGJAE LEE,spoof,[38.78216  16.469152],[-11.384581  30.620193],[ -8.586723 -17.301777]
Yonsei_8,TTS_Dream,TTS,No,Korean,Male,Adult,Music,-,-,https://youtube.com/shorts/eQq13HHCD28?si=wHwMClvf_peHRsYS,INSEOK LEE,spoof,[22.946957 -9.877706],[ 33.82774  -22.424603],[14.918975  2.086736]
2021_11_22_AI_WEATHER_2,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=KRpUZzI-sI0,KWONWOO JEONG,spoof,[-49.01179    -3.7216175],[ 44.752045 -16.665197],[-6.3447533 47.0872   ]
Josubin_naver_10,TTS_Josubin,TTS,No,Korean,Female,Adult,-,-,-,https://clovadubbing.naver.com/project/2833019,WOONGJAE LEE,spoof,[-49.419605 -15.595453],[ 26.840689 -15.466167],[16.420399 34.18829 ]
IU_AIcover_writeyournumber_7,IU,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=6IgeT060CW4,WOONGJAE LEE,spoof,[ 16.45195 -28.97066],[22.458307 43.673187],[-11.075106    6.7177763]
20230927_sbsmorning_10,GO HYUNJUN,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=WlZ-5HVm4O0,KWONWOO JEONG,bonafide,[44.04174   7.283643],[-39.63851   -7.536004],[16.226963 43.97831 ]
HongChul_3,TTS_MoJi,TTS,No,Korean,Male,Child,Music,Sound effect,-,https://youtu.be/BZjaztfsyDc?si=z0nC9t-09qxS3qUt,INSEOK LEE,spoof,[-47.4838 -19.7013],[ -1.2657828 -10.249912 ],[35.521927  3.282628]
230831_MBC_Chef_2,Lee JiSoo,-,No,Korean,Female,Adult,-,-,-,https://youtu.be/RhMH6Mz_VEQ?si=1haEzKJDs5ERUCAT,INSEOK LEE,bonafide,[ 51.1944   -16.403484],[-30.397514    3.7949731],[ 30.902607 -10.498047]
typecast_rion_1,TTS_rion,TTS,No,Korean,Male,Adult,-,-,-,https://app.typecast.ai/ko/editor/652e2b955203a6e70810435f,WOONGJAE LEE,spoof,[22.680147   4.7103615],[40.381813 -8.266343],[10.688036 24.827963]
20230710_AI_ANCHOR_7,KIM JOOHA,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=yC-edLMz5Pc,KWONWOO JEONG,spoof,[24.120564  -1.5635139],[ 47.801716 -19.834566],[-6.914868 41.585014]
230915_YTN_northkorea_3,Um Ji Min,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=NkYSnH6uhOk,WOONGJAE LEE,bonafide,[-28.45477  -23.135975],[-8.343781 26.135044],[ -1.7153234 -59.532455 ]
20230925_sbsnews4_8,AHN SANGWOO,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=l-X7q9Pu4iQ,KWONWOO JEONG,bonafide,[ 51.174404 -11.795496],[-45.36837   -5.615662],[32.166126 36.12081 ]
ConanShow_Carpool_8,"Conan, Kersti, Pierre",-,Yes,English,Female+Male,Adult,Random noise,Crowded,-,https://youtu.be/ZtCf0d8Nz5U?si=41hJFvab0tZ-W9fV,INSEOK LEE,bonafide,[24.233067  -3.1245322],[ 22.28925 -23.39615],[12.213374  4.02544 ]
230916CITYvsWHU_6,SPORT CASTER(City),-,No,English,Male,Adult,Crowded,-,-,https://youtu.be/CeZ7wk6e9V4?si=90OlaTygTqRVXdQa,INSEOK LEE,bonafide,[-41.718395 -24.528162],[ 13.841766 -26.571112],[-38.304977  10.365547]
230511_DexInterView_7,Dex,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=WzOrmd4kMqo,WOONGJAE LEE,bonafide,[49.548824 -8.685203],[-33.13681   11.278577],[-6.1894455  -0.49393702]
YTNScienceToday_Love_3,Lee HyoJong,-,No,Korean,Male,Adult,Music,Sound effect,-,https://youtu.be/2KKk6ySUPjI?si=AoQyUOl42uqsx5dx,INSEOK LEE,bonafide,[-27.50052   41.197365],[  2.0039642 -13.869456 ],[20.69347  9.322  ]
20230925_kbsnews8_6,LEE HAKYUNG,-,No,Korean,Female,Adult,Random noise,-,-,https://www.youtube.com/watch?v=97LRtP2hdbs,KWONWOO JEONG,bonafide,[28.367727 28.435362],[-44.252098 -33.467804],[36.59872 26.34731]
GangWonFC_NEWS_4,TTS_HOTISSUE,TTS,No,Korean,Female,Teenager,Music,-,-,https://youtu.be/q5sbCEOt8lA?si=1c6gML--3E5ePADV,INSEOK LEE,spoof,[-42.84313     3.9925745],[  2.1117775 -16.231579 ],[ 24.059221 -15.042129]
230914_YTN_Yeogabu_7,Kim Hyun-A,-,No,Korean,Female,Adult,Random noise,Crowded,-,https://youtu.be/9_5LaAdEgEI?si=ilbiXnL1gzRC_WWf,INSEOK LEE,bonafide,[42.383327 11.509002],[-45.75363    -3.6494029],[-17.026613 -13.642525]
20230919_ytn_weather_9,WEATHER CASTER,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=QmLCe6Io-TA,KWONWOO JEONG,bonafide,[47.87837   -2.5804093],[-44.311584 -26.020376],[13.480167 51.831444]
230917_MBCNEWS_PaikJongWon_6,Kwak Seung Gyu,-,No,Korean,Male,Adult,-,-,-,https://youtu.be/FGecEhX-ToA?si=gNxSJOMhcj-QETqr,INSEOK LEE,bonafide,[50.268803 -9.000143],[-36.86535    -1.5052602],[13.1512575 39.244316 ]
2023_06_03_AI_WEATHER_1,LEE JIAE,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=klmhZ7tmXRk,KWONWOO JEONG,spoof,[ -3.3428798 -50.07742  ],[ 24.22745  -12.639428],[ 12.750534 -59.27585 ]
pullnpush_8,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof,[-20.278376  46.48279 ],[39.01957  -9.471634],[-4.8874555  1.0486609]
typecast_rion_7,TTS_rion,TTS,No,Korean,Male,Adult,-,-,-,https://app.typecast.ai/ko/editor/652e2b955203a6e70810435f,WOONGJAE LEE,spoof,[24.247736  -5.4701247],[41.811535 -9.25302 ],[10.540944 23.961298]
ODG_7and5_2,"5yrs_Old_Child, 7yrs_Old_Child",-,Yes,Korean,Female,Child,Random noise,-,-,https://youtu.be/xcq1_w-57Ug?si=KY6IQoUf9VZgcHyl,INSEOK LEE,bonafide,[-46.88568     -0.18667787],[-15.584043  19.556936],[-38.90705  -30.796112]
elle_hanni_4,HANNI,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=KoTbLLK9-UM,KWONWOO JEONG,bonafide,[-10.987627  13.675764],[-11.97393  36.03677],[-16.431597   3.375565]
YounHa_AIcover_sim_1,YounHa,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=LWPf7l3-W_A,WOONGJAE LEE,spoof,[ 17.837252 -38.462284],[-1.2490429 54.86733  ],[-19.016043 -51.143723]
KLAB_Argentina_10,Jeon YeJin,-,No,Korean,Female,Adult,Music,Sound effect,-,https://youtu.be/D8g4LHQln94?si=IwHykEUOIllAEVc9,INSEOK LEE,bonafide,[17.111599 35.586845],[ 28.620874 -20.3503  ],[ 26.443562 -13.367507]
230831_MBC_Chef_4,Lee JiSoo,-,No,Korean,Female,Adult,-,-,-,https://youtu.be/RhMH6Mz_VEQ?si=1haEzKJDs5ERUCAT,INSEOK LEE,bonafide,[40.5256   13.059382],[-59.523495 -13.226038],[30.781807 35.886192]
230914_YTN_Yeogabu_6,Kim DaeGi,-,No,Korean,Male,Adult,Random noise,-,-,https://youtu.be/9_5LaAdEgEI?si=ilbiXnL1gzRC_WWf,INSEOK LEE,bonafide,[-14.31332   47.468834],[-32.936      6.549235],[-30.275618 -40.77101 ]
20230925_sbsnews5_8,REPORTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=xfmJWgI_KPw,KWONWOO JEONG,bonafide,[14.272137 37.02896 ],[-49.296154 -17.772606],[-21.260336    4.4559793]
ISU_AIcover_snowflower_1,Isu,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=ZJ5WnjoWSxU,WOONGJAE LEE,spoof,[-48.10682  -18.621746],[-0.29767188 55.800747  ],[ -1.4013851 -58.894127 ]
2021_11_22_AI_WEATHER_6,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=KRpUZzI-sI0,KWONWOO JEONG,spoof,[23.55718 30.85064],[-51.553123 -30.305359],[13.565467 25.865307]
230714_Workman_9,JangSeoungGyu,-,No,Korean,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=eVyBWHsIHdU,WOONGJAE LEE,bonafide,[ -7.60013 -42.56223],[ 30.771652 -20.198717],[  4.269825 -60.515015]
wonder0603_3,TTS_wonder0603,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=0RamuqXOhtA,WOONGJAE LEE,spoof,[ 4.8938828 42.479748 ],[-55.643044 -16.083427],[34.223095  -3.9454784]
KoreaWales_soccergame_5,SPORT CASTER1,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=XYgW7H_oK6U,WOONGJAE LEE,bonafide,[ 15.469321 -26.4908  ],[-9.354614 50.90305 ],[-35.310658  12.636181]
AI_SWINGS_ETA_5,MOON JIHOON,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=E7UJ6c4V4Io,KWONWOO JEONG,spoof,[23.971226    0.02528052],[ 29.897287 -25.817322],[  0.9388787 -60.35675  ]
20230507_chuninbeom_3,CHUN INBEOM,-,No,Korean,Male,Elder,Random noise,-,-,https://www.youtube.com/watch?v=XnkU2__-S3I,KWONWOO JEONG,bonafide,[-4.6250887 46.153534 ],[ 7.761247 53.760914],[36.459946   4.9395747]
20230925_sbsnews2_4,KIM DOGYUN,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=gGH6rg3aFFc,KWONWOO JEONG,bonafide,[-8.228415 47.690495],[22.710533 48.057964],[-32.203598   -1.7828913]
AhnJiyoung_AIvoice_thorn_6,AhnJiyoung,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=E8uGWfCLe7I&list=PLd3BT7SpH7glxZNzZ3YtOKEWaWUhskaWv&index=6,WOONGJAE LEE,spoof,[ 4.3559046 -4.8231125],[23.22912  43.839363],[-21.36908  -47.943733]
20230927_ytnweather_3,WON LEE DA,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=L-I_XTjBax8,KWONWOO JEONG,bonafide,[33.519154 22.868952],[-40.166714   -7.8859086],[37.793404 16.3809  ]
Morgan_Freeman_Singularity_6,Morgan Freeman,VC,No,English,Male,Adult,Music,-,-,https://youtu.be/oxXpB9pSETo?si=qJXmXYz8ZSOsQzLM,INSEOK LEE,spoof,[-21.744438 -16.30793 ],[36.046215 22.410656],[-37.487804    -0.17878427]
nbaissue_1,nbdeokhoo,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=NeMWHCo8bYM,INSEOK LEE,bonafide,[-28.871216  10.945947],[-0.86009204 55.69565   ],[14.453272  8.739931]
kimjungeun_lol_10,KimJungEun,TTS,No,Korean,Male,Adult,Reverb,Sound effect,-,https://youtu.be/XtJ45TbTM10?si=8_LMeExbGlFAB4WE,INSEOK LEE,spoof,[ -3.6964092 -50.252216 ],[ 18.156797 -19.083258],[  6.0478983 -55.845383 ]
230722_Deep_7,YoonTaeYong,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=l158Zac6AIU,WOONGJAE LEE,bonafide,[-29.513441 -24.386446],[-44.39982  -15.894358],[-22.026205  -8.490456]
bdns_lgtwins_3,MOON SANGHOON,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=7E4DfSFMcwU,KWONWOO JEONG,bonafide,[42.10725  11.881235],[-27.852768   7.445957],[  5.5160074 -61.679634 ]
230914_YTN_japan_7,Fabien,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=OmIATrHoIzw,WOONGJAE LEE,bonafide,[12.939681 37.900005],[29.603373 32.352673],[18.963575 11.903828]
wonder0603_10,TTS_wonder0603,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=0RamuqXOhtA,WOONGJAE LEE,spoof,[-15.905715  47.380386],[-50.908733 -17.948416],[  9.8329115 -64.43625  ]
20200908_chungju_5,KIM SUNTAE,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=NbHVvd82bsE,KWONWOO JEONG,bonafide,[-25.951624 -21.680199],[ 41.938053 -22.178085],[13.845114 52.36661 ]
20230914sbsenter_5,NEWS CASTER,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=UaOf9_zSr0c,KWONWOO JEONG,bonafide,[-50.471165  -11.4841795],[-46.584835   -5.0745335],[-10.992378 -15.44815 ]
stoveleague_clip_4,NAMKOONG MIN,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=FSn93vXPuMY,KWONWOO JEONG,bonafide,[-5.7027135 46.447147 ],[-45.12517     1.2081518],[  6.8670807 -63.139233 ]
TED_Einsteinparadox_8,AMBER STUVER,-,No,English,Female,Adult,Music,-,-,https://youtu.be/h8GqaAp3cGs?si=xn7QtrSuaMDhYpfD,INSEOK LEE,bonafide,[31.190722 24.115238],[35.651985 25.43839 ],[-49.367287    3.6847208]
230915_YTN_northkorea_5,Um Ji Min,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=NkYSnH6uhOk,WOONGJAE LEE,bonafide,[-38.98585  -24.608444],[28.612549 37.02163 ],[-38.47366    8.381368]
20230914_mbcnews_japan_5,Hyun YongJun(Reporter),-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=FzDl6dq2yzc,INSEOK LEE,bonafide,[ 51.605507 -18.565174],[-10.9491625  50.949654 ],[18.780825  -2.2376873]
