utt,Speaker name,TTS or VC,Is multi-speaker?,Language,Gender,Age,Noise type 1,Noise type 2,Noise type 3,Source link,Collector,label
NDH_Blueclub_7,NDH_Blueclub,TTS,No,Korean,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=l1mUUp0puys,WOONGJAE LEE,spoof
TOTLIV_INTERVIEW_7,Ange Postecoglou,-,No,English,Male,Adult,Random noise,-,-,https://youtu.be/-CLG0ID3KFo?si=WyWE83ZJkEqXNP6F,INSEOK LEE,bonafide
TED_benifits_of_bilingual_7,Mia Nacamulli,-,No,English,Female,Adult,-,-,-,https://youtu.be/MMmOLN5zBLY?si=oZ4239CxG4ekmtJ3,INSEOK LEE,bonafide
TED_Rabbit_9,Alex Gendler,-,No,English,Male,Adult,-,-,-,https://youtu.be/XU5L4Sr93-g?si=NiVc1CPHATlgRSjw,INSEOK LEE,bonafide
brothers_karamazov_maleAI_8,TTS_MALE,TTS,No,English,Male,Adult,-,-,-,Text to Speech Program,KWONWOO JEONG,spoof
HANI_AIcover_Pretty_6,HANI,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=VxrDni7vfOY,WOONGJAE LEE,spoof
ggondaehee_moonseyoon_5,Moon Se Yoon,-,No,Korean,Male,Adult,Reverb,-,-,https://www.youtube.com/watch?v=nXdwi_PS2p8,WOONGJAE LEE,bonafide
230708_SBS_AI_4,Yoon YoungHyun,-,No,Korean,Male,Adult,Crowded,-,-,https://www.youtube.com/watch?v=3R7ys0mEmaI,WOONGJAE LEE,bonafide
230913_SBSNEWS_Iphone_1,Kim Ga Hyun,-,No,Korean,Female,Adult,-,-,-,https://youtu.be/P3mlO4XdgR8?si=fROvPcLg_cmJl4hV,INSEOK LEE,bonafide
20230914sbsenter_1,NEWS CASTER,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=UaOf9_zSr0c,KWONWOO JEONG,bonafide
MissYou_ImJaeBum_6,ImJaeBum,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/cOMlxeng9D0?si=f-dxjlFyhYVc42aR,INSEOK LEE,spoof
Chutul_Cookie_1,TTS_Chutul,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/dauKQH6capM?si=ui-88PuWWOU1qgNT,INSEOK LEE,spoof
Leesooji_naver_10,TTS_LeeSooJi,TTS,No,Korean,Female,Adult,-,-,-,https://clovadubbing.naver.com/project/2832923,WOONGJAE LEE,spoof
2022_11_19_AI_WEATHER_6,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=dqkJgpxh6tw,KWONWOO JEONG,spoof
centorofrumor_10,centorofrumor,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=a0WnZEfXTK8,WOONGJAE LEE,spoof
20230920_yagubujang_4,PARK JAEHO,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=Dp0_9HnIiJ4,KWONWOO JEONG,bonafide
LOL_WORLDS_REACTION_3,TTS_Hmi,TTS,No,Korean,Female,Adult,Music,-,-,https://youtu.be/V-cKu6-o4lE?si=4Qzau_jWntoUmA0w,INSEOK LEE,spoof
ImJaeBum_HypeBoy_3,ImJaeBum,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/Fksv08A3-dE?si=epuQqKj9NPJWagGX,INSEOK LEE,spoof
SportsOneChaser_6,TTS_SportsOneChaser,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=eEm-nvXFzsE,WOONGJAE LEE,spoof
20230925_ytnweather_4,YOON SUBIN,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=OMVqiMlq5dY,KWONWOO JEONG,bonafide
230913_SBSNEWS_Iphone_5,Hong YongJae,-,No,Korean,Male,Adult,-,-,-,https://youtu.be/P3mlO4XdgR8?si=fROvPcLg_cmJl4hV,INSEOK LEE,bonafide
20230925_sbsnews6_8,SON SEUNGWOOK,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=4jsXXJs2t5g,KWONWOO JEONG,bonafide
230701_Deep_1,YoonHyukJun,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=DDnXlTxpL0M,WOONGJAE LEE,bonafide
20230926_jtbcnews_1,PARK JINGYU,-,No,Korean,Male,Adult,Sound effect,Music,-,https://www.youtube.com/watch?v=WQ1DGLk0Yf4,KWONWOO JEONG,bonafide
221027_Hansal_10,Naeil,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=MK-sMVDG6hI,WOONGJAE LEE,bonafide
weathercast_2,WEATHERCASTER,-,No,Korean,Female,Adult,Random noise,-,-,https://www.youtube.com/watch?v=09Mg3oKLamA,KWONWOO JEONG,bonafide
20230927_sbsmorning_6,GO HYUNJUN,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=WlZ-5HVm4O0,KWONWOO JEONG,bonafide
20230925_ytnweather_5,YOON SUBIN,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=OMVqiMlq5dY,KWONWOO JEONG,bonafide
2022_03_13_AI_WEATHER_6,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=E1XjlH0eiCM,KWONWOO JEONG,spoof
230916CITYvsWHU_8,SPORT CASTER(City),-,No,English,Male,Adult,Crowded,-,-,https://youtu.be/CeZ7wk6e9V4?si=90OlaTygTqRVXdQa,INSEOK LEE,bonafide
20230919_ytn_weather_8,WEATHER CASTER,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=QmLCe6Io-TA,KWONWOO JEONG,bonafide
230907_MBC_BREXIT_8,Nam HyungSeok,-,No,Korean,Male,Adult,Music,-,-,https://youtu.be/d9rWp3rYolA?si=yatFrAjjZ8Pm6kc5,INSEOK LEE,bonafide
20230925_sbsnews1_6,KIM HYUNJIN,-,No,Korean,Male,Adult,Music,Random noise,-,https://youtu.be/N7pWnoK0EYY?si=3KOXiOqdrtAVBx-o,KWONWOO JEONG,bonafide
20230928_handonghoon_4,HAN DONGHOON,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=YPDeL3eb0sM,KWONWOO JEONG,bonafide
todayistoday_5,TTS_todayistoday,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=jR2VnNH1Zek,WOONGJAE LEE,spoof
GScampus_5,GScampus,TTS,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,WOONGJAE LEE,spoof
Debate_4,TTS_funshorts_1,TTS,No,Korean,Female,Teenager,Music,Sound effect,-,https://youtube.com/shorts/LGgfc-kQQM0?si=TFDhtRnlV3YhmjeW,INSEOK LEE,spoof
230610_Deep_7,YoonHyukJun,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=F-9SFYmO_XQ,WOONGJAE LEE,bonafide
typecast_rion_3,TTS_rion,TTS,No,Korean,Male,Adult,-,-,-,https://app.typecast.ai/ko/editor/652e2b955203a6e70810435f,WOONGJAE LEE,spoof
footballmagazine365_6,TTS_footballmagazine370,TTS,No,Korean,Male,Adult,Sound effect,-,-,https://www.youtube.com/watch?v=GE8pfxQ2Whk,WOONGJAE LEE,spoof
IU_AIcover_nomatterwhere_9,IU,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=TDEqKZNMRHU,WOONGJAE LEE,spoof
2021_04_15_AI_ANCHOR_2,BYUN SANGWOOK,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=uneZ76dIaCQ,KWONWOO JEONG,spoof
Double_10,TTS_Baseball,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/SSgZZeVSFBs?si=7wHRf6tDCCSr6Xzk,INSEOK LEE,spoof
wonder0603_2,TTS_wonder0603,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=0RamuqXOhtA,WOONGJAE LEE,spoof
TED_Cuddly_7,Dan Finkel,-,No,English,Male,Adult,Random noise,-,-,https://youtu.be/z-ZEfxAL9SI?si=ELtooN9Nlz1SMAHp,INSEOK LEE,bonafide
HaeRin_AIcover_FirstLove_4,HaeRin,VC,No,Korean,Female,Teenager,Music,-,-,https://www.youtube.com/watch?v=OaVKYrhywkU,WOONGJAE LEE,spoof
20230925_sbsnews2_5,KIM DOGYUN,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=gGH6rg3aFFc,KWONWOO JEONG,bonafide
20230913_sbs_news_airbnb_1,MALE NEWSCASTER,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=JIq_1VDBlEA,KWONWOO JEONG,bonafide
2022_11_19_AI_WEATHER_4,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=dqkJgpxh6tw,KWONWOO JEONG,spoof
20230925_sbsnews3_6,REPORTER,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=GCOiANiDgqQ,KWONWOO JEONG,bonafide
KBS_Soccer_Barain_3,"Lee YoungPyo, Nam HyunJong",-,Yes,Korean,Male,Adult,Music,-,-,https://youtu.be/k8duJ8fZTgA?si=lxYjhy3uhkb8MgAl,INSEOK LEE,bonafide
pullnpush_2,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof
MonsterMouse_Goodbye_6,MonsterMouse,VC,No,Korean,Male,Adult,Music,-,-,https://youtu.be/iJPj9U04jmU?si=vxC_zKTrOXhNisXx,INSEOK LEE,spoof
Josubin_naver_5,TTS_Josubin,TTS,No,Korean,Female,Adult,-,-,-,https://clovadubbing.naver.com/project/2833019,WOONGJAE LEE,spoof
TOTLIV_INTERVIEW_2,Ange Postecoglou,-,No,English,Male,Adult,Random noise,-,-,https://youtu.be/-CLG0ID3KFo?si=WyWE83ZJkEqXNP6F,INSEOK LEE,bonafide
230610_Deep_5,YoonHyukJun,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=F-9SFYmO_XQ,WOONGJAE LEE,bonafide
Yonsei_2,TTS_Dream,TTS,No,Korean,Male,Adult,Music,-,-,https://youtube.com/shorts/eQq13HHCD28?si=wHwMClvf_peHRsYS,INSEOK LEE,spoof
pullnpush_10,TTS_pullnpush,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=M347-xlaVqs,WOONGJAE LEE,spoof
JangBeomJune_AIcover_monologue_1,JangBeomJune,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=uD79n8tjETs&list=PLd3BT7SpH7gmGQCATURscUYrwPyKx8x8A,WOONGJAE LEE,spoof
Electricroad_bbcnews_3,INTERVIEWEE_1,-,No,English,Male,Elder,Music,Sound effect,-,https://youtu.be/XpZcveIiU_8?si=S2u6ktUkJW8j3KCM,INSEOK LEE,bonafide
20230914sbsenter_3,NEWS CASTER,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=UaOf9_zSr0c,KWONWOO JEONG,bonafide
GScampus_4,GScampus,TTS,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,WOONGJAE LEE,spoof
jtbc_news_saban_3,NEWS CASTER,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=WyU1XWd5_lE,WOONGJAE LEE,bonafide
Leesooji_naver_8,TTS_LeeSooJi,TTS,No,Korean,Female,Adult,-,-,-,https://clovadubbing.naver.com/project/2832923,WOONGJAE LEE,spoof
AI_ANCHOR_KIMJOOHA_3,KIM JOOHA,VC,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=H6JThNQPER0,KWONWOO JEONG,spoof
youquiz_EP191_6,Yoo Jae Seok,-,Yes,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=chXZVXYTVU4,WOONGJAE LEE,bonafide
TED_Rabbit_3,Alex Gendler,-,No,English,Male,Adult,-,-,-,https://youtu.be/XU5L4Sr93-g?si=NiVc1CPHATlgRSjw,INSEOK LEE,bonafide
230925_MBC_Kangin_9,Lee KangIn,-,No,Korean,Male,Adult,Crowded,-,-,https://youtu.be/dcayLog4cak?si=-Qak-FXjo54cJ8To,INSEOK LEE,bonafide
ISU_AIcover_snowflower_3,Isu,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=ZJ5WnjoWSxU,WOONGJAE LEE,spoof
BrunoMars_Hypeboy_3,Bruno Mars,VC,No,Mixed,Male,Adult,Music,-,-,https://youtu.be/ge0Lw5I1Tw8?si=VRepHqLMng0J5AM8,INSEOK LEE,spoof
ISU_AIcover_snowflower_2,Isu,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=ZJ5WnjoWSxU,WOONGJAE LEE,spoof
Tetris_2,"Trump,Biden",TTS,Yes,English,Male,Adult,Music,-,-,https://youtu.be/FPQWufWTDeA?si=JMUEguw4E4bFehdy,INSEOK LEE,spoof
230323_DexInterview_10,Kwon EunBi,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=CHuZQoEaMOI,WOONGJAE LEE,bonafide
230917_MBCNEWS_PaikJongWon_8,Kwak Seung Gyu,-,No,Korean,Male,Adult,-,-,-,https://youtu.be/FGecEhX-ToA?si=gNxSJOMhcj-QETqr,INSEOK LEE,bonafide
230907_MBC_BREXIT_2,Nam HyungSeok,-,No,Korean,Male,Adult,Sound effect,Music,Crowded,https://youtu.be/d9rWp3rYolA?si=yatFrAjjZ8Pm6kc5,INSEOK LEE,bonafide
2023_01_31_AI_WEATHER_4,LEE JIAE,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=s8btT3yy3nY,KWONWOO JEONG,spoof
20230925_sbsnews5_6,REPORTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=xfmJWgI_KPw,KWONWOO JEONG,bonafide
ConanShow_Carpool_10,Conan,-,No,English,Male,Adult,Random noise,Crowded,-,https://youtu.be/ZtCf0d8Nz5U?si=41hJFvab0tZ-W9fV,INSEOK LEE,bonafide
230913_SBSNEWS_JOB_3,Jeung BanSeok,-,No,Korean,Male,Adult,Crowded,-,-,https://youtu.be/LdPFrXNDxgk?si=hu8qiMSvq8j_S4XM,INSEOK LEE,bonafide
230915_YTN_northkorea_6,Um Ji Min,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=NkYSnH6uhOk,WOONGJAE LEE,bonafide
Chick_3,TTS_Rocket,TTS,No,Korean,Male,Adult,Music,-,-,https://youtube.com/shorts/hBCaueWN56w?si=2CakA-ho13kvyAAM,INSEOK LEE,spoof
parkeunbin_interview_3,PARK EUN BIN,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=3oob_1cAvRI,KWONWOO JEONG,bonafide
20230913_sbs_news_airbnb_3,MALE NEWSCASTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=JIq_1VDBlEA,KWONWOO JEONG,bonafide
Josubin_naver_8,TTS_Josubin,TTS,No,Korean,Female,Adult,-,-,-,https://clovadubbing.naver.com/project/2833019,WOONGJAE LEE,spoof
230925_MBC_Kangin_5,Lee KangIn,-,No,Korean,Male,Adult,Crowded,-,-,https://youtu.be/dcayLog4cak?si=-Qak-FXjo54cJ8To,INSEOK LEE,bonafide
2021_11_29_AI_WEATHER_2,YOO SEUNGMIN,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=scdueeaD-5M,KWONWOO JEONG,spoof
20230927_handonghoon_10,HAN DONGHOON,-,No,Korean,Male,Adult,Sound effect,-,-,https://www.youtube.com/watch?v=MNo7eHMkkuw,KWONWOO JEONG,bonafide
Mark_Zuckerberg_Harvard_Address_1,Mark Zuckerberg,-,No,English,Male,Adult,Music,-,-,https://youtu.be/C5pPsmqwEis?si=nAFaO_bgwNUjAXZr,INSEOK LEE,bonafide
20230925_sbsnews3_7,REPORTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=GCOiANiDgqQ,KWONWOO JEONG,bonafide
2023_01_31_AI_WEATHER_5,LEE JIAE,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=s8btT3yy3nY,KWONWOO JEONG,spoof
230914_YTN_japan_9,Fabien,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=OmIATrHoIzw,WOONGJAE LEE,bonafide
HANI_AIcover_Pretty_2,HANI,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=VxrDni7vfOY,WOONGJAE LEE,spoof
AhnJiyoung_AIvoice_thorn_1,AhnJiyoung,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=E8uGWfCLe7I&list=PLd3BT7SpH7glxZNzZ3YtOKEWaWUhskaWv&index=6,WOONGJAE LEE,spoof
bdns_lgtwins_5,MOON SANGHOON,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=7E4DfSFMcwU,KWONWOO JEONG,bonafide
LOL_Dopa_10,TTS_GangDo,TTS,No,Korean,Male,Child,Music,-,-,https://youtu.be/QipDWk7_f0s?si=FB7uMidYTlZndUq-,INSEOK LEE,spoof
Swiss_9,TTS_Haru,TTS,No,Korean,Female,Adult,Music,Random noise,-,https://youtu.be/Ff5hOelyONU?si=nrk6dYkX2U_rqSWs,INSEOK LEE,spoof
G-Dragon_AIvoice_firstlove_10,G-Dragon,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=h8qRj3ti_rw&list=PLdZvmNDhnFxtlF4hzxizMFtQEDLoQoL9M&index=35,WOONGJAE LEE,spoof
youquiz_EP191_8,Yoo Jae Seok,-,Yes,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=chXZVXYTVU4,WOONGJAE LEE,bonafide
bdns_lgtwins_9,MOON SANGHOON,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=7E4DfSFMcwU,KWONWOO JEONG,bonafide
Leesooji_naver_3,TTS_LeeSooJi,TTS,No,Korean,Female,Adult,-,-,-,https://clovadubbing.naver.com/project/2832923,WOONGJAE LEE,spoof
230921_GAMST_ManchesterUnited_3,GAMST,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=5S8HBc6Q2Ng,WOONGJAE LEE,bonafide
tottenham_interview_7,Ange Postecoglou,-,No,English,Male,Adult,Crowded,-,-,https://www.youtube.com/watch?v=TrYHDkeccF0,KWONWOO JEONG,bonafide
IU_AIcover_writeyournumber_2,IU,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=6IgeT060CW4,WOONGJAE LEE,spoof
230824_hanmoonchul_8,Han Moon Chul,-,No,Korean,Male,Adult,Sound effect,Music,-,https://www.youtube.com/watch?v=H3qkiSMFYI0,WOONGJAE LEE,bonafide
ziroud_1,TTS_Hooligun,TTS,No,Korean,Male,Child,Music,-,-,https://youtu.be/672_mR42M2I?si=ZhYgv0GWEc3cjwDF,INSEOK LEE,spoof
Leesooji_naver_5,TTS_LeeSooJi,TTS,No,Korean,Female,Adult,-,-,-,https://clovadubbing.naver.com/project/2832923,WOONGJAE LEE,spoof
meanissue_10,TTS_meanissue,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=3QE7b9xHius,WOONGJAE LEE,spoof
KimKyungHo_AIcover_You_4,KimKyungHo,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=6x8R0PP9Vm4,WOONGJAE LEE,spoof
meanissue_8,TTS_meanissue,TTS,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=3QE7b9xHius,WOONGJAE LEE,spoof
20230925_sbsnews6_6,SON SEUNGWOOK,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=4jsXXJs2t5g,KWONWOO JEONG,bonafide
20230920_ytn_weather_5,WON LEEDA,-,No,Korean,Female,Adult,Random noise,-,-,https://www.youtube.com/watch?v=Dd_lpyiEV68,KWONWOO JEONG,bonafide
LOL_Combi_9,TTS_ByungChoon,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/AttUNwGaqbE?si=EDpth6-4bzaLrwV-,INSEOK LEE,spoof
TrumpObamaBiden_monster_4,"Biden,Obama,Trump",TTS,Yes,English,Male,Adult,Sound effect,-,-,https://youtu.be/hPB_zsXOcNQ?si=nag3CC0QrlXBIN9s,INSEOK LEE,spoof
2023_01_31_AI_WEATHER_10,LEE JIAE,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=s8btT3yy3nY,KWONWOO JEONG,spoof
LOL_Combi_6,TTS_ByungChoon,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/AttUNwGaqbE?si=EDpth6-4bzaLrwV-,INSEOK LEE,spoof
TED_Prisoner_Riddle_7,Alex Gendler,-,No,English,Male,Adult,Sound effect,-,-,https://youtu.be/N5vJSNXPEwA?si=_tg_pXfpxedM_Cfw,INSEOK LEE,bonafide
HANI_AIcover_PainKiller_10,HANI,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=x624tADFZYI,WOONGJAE LEE,spoof
HongChul_1,TTS_MoJi,TTS,No,Korean,Male,Child,Music,-,-,https://youtu.be/BZjaztfsyDc?si=z0nC9t-09qxS3qUt,INSEOK LEE,spoof
Frontyard_6,TTS_issue,TTS,No,Korean,Female,Teenager,Music,Random noise,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,INSEOK LEE,spoof
KwonEunBi_1,TTS_Human_Addict,TTS,No,Korean,Female,Adult,Music,-,-,https://youtu.be/Bxmnp2fzf4g?si=8lKrCLJqyPpqekFb,INSEOK LEE,spoof
2023_01_31_AI_WEATHER_8,LEE JIAE,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=s8btT3yy3nY,KWONWOO JEONG,spoof
YTNScienceToday_Love_6,Lee HyoJong,-,No,Korean,Male,Adult,Music,Sound effect,-,https://youtu.be/2KKk6ySUPjI?si=AoQyUOl42uqsx5dx,INSEOK LEE,bonafide
youquiz_EP191_5,Yoo Jae Seok,-,Yes,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=chXZVXYTVU4,WOONGJAE LEE,bonafide
Donghyun_4,"Obama,Biden",TTS,Yes,English,Male,Adult,Music,-,-,https://youtu.be/Mpo-i4aphrM?si=Ha9147VoJ2do-u9L,INSEOK LEE,spoof
230926_HanJuneTV_5,HanJune,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=qu9OqX_-3NU,WOONGJAE LEE,bonafide
230701_Deep_6,"KimGyuNam, YoonHyukJun",-,Yes,Korean,Female+Male,Adult,Music,-,-,https://www.youtube.com/watch?v=DDnXlTxpL0M,WOONGJAE LEE,bonafide
20200908_chungju_8,KIM SUNTAE,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=NbHVvd82bsE,KWONWOO JEONG,bonafide
230722_Deep_3,YoonTaeYong,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=l158Zac6AIU,WOONGJAE LEE,bonafide
brothers_karamazov_femaleAI_2,TTS_FEMALE,TTS,No,English,Female,Adult,-,-,-,Text to Speech Program,KWONWOO JEONG,spoof
korea_vs_saudi_6,SPORT CASTER,-,Yes,Korean,Male,Adult,Crowded,-,-,https://www.youtube.com/watch?v=nhBjLjJ3sAE,KWONWOO JEONG,bonafide
tottenham_interview_9,Ange Postecoglou,-,No,English,Male,Adult,Crowded,-,-,https://www.youtube.com/watch?v=TrYHDkeccF0,KWONWOO JEONG,bonafide
IU_AIcover_dandelion_1,IU,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Dv3c7xLoOfU,WOONGJAE LEE,spoof
FBCKtv_4,TTS_FBCKtv,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=51Cj2vS-hVg,WOONGJAE LEE,spoof
230920_SBS_japan_6,Park Sang Jin,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=KjmbHByLnT0,WOONGJAE LEE,bonafide
FBCKtv_3,TTS_FBCKtv,TTS,No,Korean,Female,Adult,Music,Random noise,-,https://www.youtube.com/watch?v=51Cj2vS-hVg,WOONGJAE LEE,spoof
IU_AIcover_dandelion_4,IU,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Dv3c7xLoOfU,WOONGJAE LEE,spoof
ziroud_8,TTS_Hooligun,TTS,No,Korean,Male,Child,Music,-,-,https://youtu.be/672_mR42M2I?si=ZhYgv0GWEc3cjwDF,INSEOK LEE,spoof
2023_06_03_AI_WEATHER_3,LEE JIAE,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=klmhZ7tmXRk,KWONWOO JEONG,spoof
20230920_ytn_weather_7,WON LEEDA,-,No,Korean,Female,Adult,Random noise,-,-,https://www.youtube.com/watch?v=Dd_lpyiEV68,KWONWOO JEONG,bonafide
230714_Workman_8,JangSeoungGyu,-,No,Korean,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=eVyBWHsIHdU,WOONGJAE LEE,bonafide
KimKyungHo_AIcover_You_8,KimKyungHo,VC,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=6x8R0PP9Vm4,WOONGJAE LEE,spoof
bdns_lgtwins_1,MOON SANGHOON,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=7E4DfSFMcwU,KWONWOO JEONG,bonafide
IU_AIcover_nomatterwhere_1,IU,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=TDEqKZNMRHU,WOONGJAE LEE,spoof
elle_hanni_2,HANNI,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=KoTbLLK9-UM,KWONWOO JEONG,bonafide
korea_vs_saudi_7,SPORT CASTER,-,Yes,Korean,Male,Adult,Crowded,-,-,https://www.youtube.com/watch?v=nhBjLjJ3sAE,KWONWOO JEONG,bonafide
YumiPick_10,TTS_Chutul,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/5_U7HiM_ZGE?si=a6Wh79Y-9N51GhZS,INSEOK LEE,spoof
Chutul_Cookie_5,TTS_Chutul,TTS,No,Korean,Male,Adult,Music,Sound effect,-,https://youtu.be/dauKQH6capM?si=ui-88PuWWOU1qgNT,INSEOK LEE,spoof
20230925_sbsnews7_7,KIM DOGYUN,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=jP-t-Y59gzs,KWONWOO JEONG,bonafide
230921_MBC_KimHang_8,Kwak DongGun,-,No,Korean,Male,Adult,Random noise,-,-,https://youtu.be/NX_y7X_hdlI?si=6W6avDmbtHQDYlb4,INSEOK LEE,bonafide
HANI_AIcover_PainKiller_4,HANI,VC,No,English,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=x624tADFZYI,WOONGJAE LEE,spoof
20210702_AI_ANCHOR_4,KIM JOOHA,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=cHo83zJ5CZk,KWONWOO JEONG,spoof
230915_YTN_northkorea_2,Um Ji Min,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=NkYSnH6uhOk,WOONGJAE LEE,bonafide
Winter_AIcover_LoveRunAway_1,Winter,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=_VWwcfmvBHQ,WOONGJAE LEE,spoof
230914_YTN_japan_8,Fabien,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=OmIATrHoIzw,WOONGJAE LEE,bonafide
